step,loss_A,loss_B,loss_C,delta_A_minus_B,delta_A_minus_C,delta_C_minus_B
1690,4.379678726196289,4.382722854614258,4.380152225494385,-0.00304412841796875,-0.0004734992980957031,-0.002570629119873047
1700,4.323486328125,4.321107864379883,4.32302713394165,0.0023784637451171875,0.0004591941833496094,0.0019192695617675781
1710,4.327791213989258,4.325767993927002,4.3273138999938965,0.0020232200622558594,0.0004773139953613281,0.0015459060668945312
1720,4.556356430053711,4.556000232696533,4.555742263793945,0.0003561973571777344,0.000614166259765625,-0.0002579689025878906
1730,4.34293270111084,4.344266414642334,4.342881679534912,-0.0013337135314941406,5.1021575927734375e-05,-0.001384735107421875
1740,4.51361608505249,4.512788772583008,4.513883590698242,0.0008273124694824219,-0.0002675056457519531,0.001094818115234375
1750,4.449636459350586,4.448696136474609,4.447788715362549,0.0009403228759765625,0.0018477439880371094,-0.0009074211120605469
1760,4.429104804992676,4.429644584655762,4.429043292999268,-0.0005397796630859375,6.151199340820312e-05,-0.0006012916564941406
1770,4.496685028076172,4.497564792633057,4.4978203773498535,-0.0008797645568847656,-0.0011353492736816406,0.000255584716796875
1780,4.291164398193359,4.288999080657959,4.290040493011475,0.0021653175354003906,0.0011239051818847656,0.001041412353515625
1790,4.493488788604736,4.493246078491211,4.493607521057129,0.00024271011352539062,-0.00011873245239257812,0.00036144256591796875
1800,4.53324556350708,4.525390148162842,4.529904365539551,0.007855415344238281,0.003341197967529297,0.004514217376708984
1810,4.198341369628906,4.200641632080078,4.198781967163086,-0.002300262451171875,-0.0004405975341796875,-0.0018596649169921875
1820,4.487277507781982,4.487847328186035,4.487502574920654,-0.0005698204040527344,-0.000225067138671875,-0.0003447532653808594
1830,4.320621013641357,4.322159767150879,4.32112979888916,-0.0015387535095214844,-0.0005087852478027344,-0.00102996826171875
1840,4.447338581085205,4.450192451477051,4.447973251342773,-0.002853870391845703,-0.0006346702575683594,-0.0022192001342773438
1850,4.302567481994629,4.301416873931885,4.301543712615967,0.0011506080627441406,0.0010237693786621094,0.00012683868408203125
1860,4.534903526306152,4.5364990234375,4.532482624053955,-0.0015954971313476562,0.0024209022521972656,-0.004016399383544922
1870,4.405316352844238,4.406494140625,4.406128406524658,-0.0011777877807617188,-0.0008120536804199219,-0.0003657341003417969
1880,4.281761646270752,4.282770156860352,4.280845642089844,-0.0010085105895996094,0.0009160041809082031,-0.0019245147705078125
1890,4.138354301452637,4.1384477615356445,4.138552665710449,-9.34600830078125e-05,-0.0001983642578125,0.0001049041748046875
1900,4.30088472366333,4.300377368927002,4.299914360046387,0.000507354736328125,0.0009703636169433594,-0.0004630088806152344
1910,4.3912882804870605,4.393563270568848,4.391951560974121,-0.0022749900817871094,-0.0006632804870605469,-0.0016117095947265625
1920,4.333837509155273,4.334095478057861,4.336643218994141,-0.0002579689025878906,-0.0028057098388671875,0.002547740936279297
1930,4.203185081481934,4.203372001647949,4.203778266906738,-0.000186920166015625,-0.0005931854248046875,0.0004062652587890625
1940,4.30783224105835,4.307507514953613,4.308177471160889,0.0003247261047363281,-0.0003452301025390625,0.0006699562072753906
1950,4.340301990509033,4.338721752166748,4.339035511016846,0.0015802383422851562,0.0012664794921875,0.00031375885009765625
1960,4.25256872177124,4.252813816070557,4.250753879547119,-0.00024509429931640625,0.0018148422241210938,-0.0020599365234375
1970,4.4994425773620605,4.50022554397583,4.498691082000732,-0.0007829666137695312,0.000751495361328125,-0.0015344619750976562
1980,4.363895893096924,4.363600254058838,4.362850189208984,0.0002956390380859375,0.0010457038879394531,-0.0007500648498535156
1990,4.292425155639648,4.290928363800049,4.2912211418151855,0.0014967918395996094,0.0012040138244628906,0.00029277801513671875
2000,4.4528303146362305,4.449085235595703,4.455806255340576,0.0037450790405273438,-0.002975940704345703,0.006721019744873047
