choice_rank,mixed_rank,partition_id,nll,delta_nll_vs_native_h16,merged_boundaries,routing_groups,segment_widths
331,330,0__1-2__3__4-5__6__7__8__9__10__11__12-13__14-15,5.1853225214856575,0.8194039233851873,"[1, 4, 12, 14]",12,"[80, 160, 80, 160, 80, 80, 80, 80, 80, 80, 160, 160]"
332,331,0__1__2__3__4-5__6-7__8-9__10-11__12__13__14__15,5.185449117323054,0.8195305192225835,"[4, 6, 8, 10]",12,"[80, 80, 80, 80, 160, 160, 160, 160, 80, 80, 80, 80]"
333,332,0-1__2__3__4-5__6__7__8__9__10__11__12-13__14-15,5.185858063683831,0.819939465583361,"[0, 4, 12, 14]",12,"[160, 80, 80, 160, 80, 80, 80, 80, 80, 80, 160, 160]"
334,333,0-1__2-3__4__5__6__7__8-9__10__11__12__13-14__15,5.186300241352876,0.8203816432524054,"[0, 2, 8, 13]",12,"[160, 160, 80, 80, 80, 80, 160, 80, 80, 80, 160, 80]"
335,334,0-1__2__3__4__5__6__7__8__9-10__11-12__13-14__15,5.187430739286242,0.8215121411857718,"[0, 9, 11, 13]",12,"[160, 80, 80, 80, 80, 80, 80, 80, 160, 160, 160, 80]"
336,335,0-1__2-3__4__5__6__7-8__9-10__11__12__13__14__15,5.187513900059526,0.8215953019590554,"[0, 2, 7, 9]",12,"[160, 160, 80, 80, 80, 160, 160, 80, 80, 80, 80, 80]"
337,336,0__1__2-3__4-5__6__7__8__9__10-11__12__13-14__15,5.188618129066475,0.8226995309660046,"[2, 4, 10, 13]",12,"[80, 80, 160, 160, 80, 80, 80, 80, 160, 80, 160, 80]"
338,337,0-1__2__3-4__5__6__7__8-9__10__11__12__13-14__15,5.189718669693724,0.8238000715932534,"[0, 3, 8, 13]",12,"[160, 80, 160, 80, 80, 80, 160, 80, 80, 80, 160, 80]"
339,338,0__1__2__3__4-5__6__7-8__9-10__11__12__13-14__15,5.189959274359113,0.824040676258643,"[4, 7, 9, 13]",12,"[80, 80, 80, 80, 160, 80, 160, 160, 80, 80, 160, 80]"
340,339,0__1__2__3__4-5__6__7__8__9-10__11-12__13-14__15,5.190524994336498,0.8246063962360282,"[4, 9, 11, 13]",12,"[80, 80, 80, 80, 160, 80, 80, 80, 160, 160, 160, 80]"
341,340,0-1__2__3-4__5__6__7__8__9__10-11__12__13__14-15,5.191795481498174,0.8258768833977035,"[0, 3, 10, 14]",12,"[160, 80, 160, 80, 80, 80, 80, 80, 160, 80, 80, 160]"
342,341,0-1__2__3__4__5__6__7__8__9__10-11__12-13__14-15,5.192185880152012,0.8262672820515418,"[0, 10, 12, 14]",12,"[160, 80, 80, 80, 80, 80, 80, 80, 80, 160, 160, 160]"
343,342,0-1__2__3-4__5__6__7__8__9__10__11__12-13__14-15,5.192466212391038,0.8265476142905674,"[0, 3, 12, 14]",12,"[160, 80, 160, 80, 80, 80, 80, 80, 80, 80, 160, 160]"
344,343,0__1-2__3__4__5__6__7__8__9-10__11-12__13-14__15,5.193102893941214,0.8271842958407438,"[1, 9, 11, 13]",12,"[80, 160, 80, 80, 80, 80, 80, 80, 160, 160, 160, 80]"
345,344,0__1__2__3-4__5__6__7__8-9__10-11__12__13-14__15,5.193413492055466,0.827494893954996,"[3, 8, 10, 13]",12,"[80, 80, 80, 160, 80, 80, 80, 160, 160, 80, 160, 80]"
346,345,0-1__2__3-4__5__6__7-8__9-10__11__12__13__14__15,5.194739278810115,0.8288206807096445,"[0, 3, 7, 9]",12,"[160, 80, 160, 80, 80, 160, 160, 80, 80, 80, 80, 80]"
