condition,kind,split,nll,delta_nll,ci95_low,ci95_high
balanced-g1267,balanced-random-8,discovery,4.808612080962777,0.5609086298639596,0.5515494768391364,0.5705067704897374
balanced-g1267,balanced-random-8,confirmation,4.6837082379957335,0.5473525349345731,0.5372217916650698,0.55760223348625
balanced-g1345,balanced-random-8,discovery,4.632883049991939,0.3851795988931217,0.3763936746167019,0.3944197973120026
balanced-g1345,balanced-random-8,confirmation,4.505916061755616,0.36956035869445536,0.3596973051084206,0.3797684655641206
balanced-g1346,balanced-random-8,discovery,4.62443448977503,0.3767310386762128,0.36899236049503087,0.3849853133317083
balanced-g1346,balanced-random-8,confirmation,4.496980297017774,0.3606245939566133,0.35255428883247075,0.36883892252808437
balanced-g1347,balanced-random-8,discovery,4.81901954182898,0.5713160907301624,0.5598086824640631,0.5831454128026963
balanced-g1347,balanced-random-8,confirmation,4.691142800033734,0.5547870969725732,0.5406504023005254,0.5696743907639756
balanced-g1356,balanced-random-8,discovery,4.6801833626345335,0.4324799115357161,0.4217955616186373,0.44359658217290415
balanced-g1356,balanced-random-8,confirmation,4.548307398780233,0.41195169571907275,0.4011139084235765,0.423125371534843
balanced-g1357,balanced-random-8,discovery,4.699734991247004,0.4520315401481865,0.4437060569762252,0.4605393059318885
balanced-g1357,balanced-random-8,confirmation,4.5787642395974135,0.4424085365362531,0.43335059240926055,0.45217817053198817
balanced-g1367,balanced-random-8,discovery,4.708236272966641,0.4605328218678233,0.4524899333249778,0.4686989446170628
balanced-g1367,balanced-random-8,confirmation,4.583888253858013,0.4475325507968524,0.4389963409863412,0.45630329311825335
balanced-g1456,balanced-random-8,discovery,4.682287436659618,0.4345839855608009,0.42363256972748786,0.44597829394042493
balanced-g1456,balanced-random-8,confirmation,4.552047084853097,0.41569138179193654,0.4047054467839189,0.4275797195849009
balanced-g1457,balanced-random-8,discovery,4.8169184304402375,0.5692149793414201,0.5573559744516388,0.5813385335030035
balanced-g1457,balanced-random-8,confirmation,4.692878895607628,0.556523192546468,0.5418440597248264,0.5714434741297737
balanced-g1467,balanced-random-8,discovery,4.828101527772458,0.5803980766736405,0.5695205394178628,0.5919485574588179
balanced-g1467,balanced-random-8,confirmation,4.7053380697703435,0.5689823667091831,0.5557241957518272,0.5831025806954131
balanced-g1567,balanced-random-8,discovery,4.774581317211759,0.5268778661129412,0.5164655958535149,0.5375617937301286
balanced-g1567,balanced-random-8,confirmation,4.647098507233262,0.5107428041721018,0.4995488755754195,0.5225167572149075
balanced-g2345,balanced-random-8,discovery,4.706216042575482,0.4585125914766648,0.4482538840733469,0.46872740051476286
balanced-g2345,balanced-random-8,confirmation,4.577412511596232,0.44105680853507145,0.4297798777697608,0.45284079258563
balanced-g2346,balanced-random-8,discovery,4.712009393574555,0.46430594247573787,0.45578833159524945,0.47271477032918485
balanced-g2346,balanced-random-8,confirmation,4.581366403361569,0.4450107003004087,0.4358770360937342,0.45462150777457283
balanced-g2347,balanced-random-8,discovery,4.900819532332882,0.6531160812340646,0.6395856203278527,0.6667195026879199
balanced-g2347,balanced-random-8,confirmation,4.769625793337705,0.6332700902765449,0.6174283952335827,0.6502293821773492
balanced-g2356,balanced-random-8,discovery,4.76475344561878,0.5170499945199625,0.5055388970416971,0.5292775727226399
balanced-g2356,balanced-random-8,confirmation,4.62443357898343,0.4880778759222695,0.47703959472710267,0.4998300653533079
balanced-g2357,balanced-random-8,discovery,4.766463530960904,0.5187600798620862,0.509250196267385,0.528229801764246
balanced-g2357,balanced-random-8,confirmation,4.643336323116299,0.5069806200551383,0.4962881770799868,0.5179762284271419
balanced-g2367,balanced-random-8,discovery,4.794073643689049,0.5463701925902313,0.5376047115307301,0.5549537806538865
balanced-g2367,balanced-random-8,confirmation,4.6673182434350515,0.5309625403738911,0.5215766221750527,0.5405979268951342
balanced-g2456,balanced-random-8,discovery,4.769166922173076,0.5214634710742585,0.5096267402986996,0.5336667130468413
balanced-g2456,balanced-random-8,confirmation,4.629613759347537,0.4932580562863764,0.4816948765190318,0.5052765178144909
balanced-g2457,balanced-random-8,discovery,4.892936195213191,0.6452327441143737,0.6321217121556402,0.6586010405095294
balanced-g2457,balanced-random-8,confirmation,4.766090045343513,0.6297343422823527,0.6140380200464278,0.6463247924577444
balanced-g2467,balanced-random-8,discovery,4.937716651871757,0.6900132007729392,0.677917738026008,0.7026656584697776
balanced-g2467,balanced-random-8,confirmation,4.811225810941247,0.6748701078800865,0.6599583938601427,0.6903746166150085
balanced-g2567,balanced-random-8,discovery,4.862765246006284,0.6150617949074668,0.603803112404421,0.6266374677652493
balanced-g2567,balanced-random-8,confirmation,4.727985100545725,0.5916293974845646,0.5800489980261773,0.6036719674943015
balanced-g3456,balanced-random-8,discovery,4.68905763495586,0.44135418385704295,0.42966544881928714,0.4532508849631995
balanced-g3456,balanced-random-8,confirmation,4.547752093243343,0.41139639018218244,0.40017147245816886,0.4232892934815027
balanced-g3457,balanced-random-8,discovery,4.820198256249302,0.5724948051504848,0.5606719414703548,0.5847671989700757
balanced-g3457,balanced-random-8,confirmation,4.690545457316051,0.5541897542548906,0.5397736433078535,0.5687988334568217
balanced-g3467,balanced-random-8,discovery,4.799094206659908,0.5513907555610906,0.5412221647100524,0.5619098467752337
balanced-g3467,balanced-random-8,confirmation,4.672509392452147,0.5361536893909866,0.5237853554659523,0.5491175955510699
balanced-g3567,balanced-random-8,discovery,4.780139156334095,0.5324357052352777,0.521625499019865,0.5433825404150412
balanced-g3567,balanced-random-8,confirmation,4.643788292960338,0.5074325898991772,0.4960776306921616,0.5191205690498464
balanced-g4567,balanced-random-8,discovery,4.835326369556864,0.5876229184580462,0.5760669316863641,0.5993634187616408
balanced-g4567,balanced-random-8,confirmation,4.699938558296957,0.5635828552357962,0.5504639571881853,0.5772173756617122
