k,partition_id,roles,predicted_rank,predicted_score,actual_nll,actual_delta_nll,merged_boundaries
6,0__1-2__3__4-5__6-7__8__9-10__11-12__13__14-15,['uniform_transfer'],56,-0.051869625311,6.137884103657563,1.8909033712869983,"[1, 4, 6, 9, 11, 14]"
6,0__1-2__3__4-5__6__7-8__9__10-11__12-13__14-15,"['target_bottom', 'uniform_transfer']",208,0.136780727742,6.483813387441029,2.2368326550704642,"[1, 4, 7, 10, 12, 14]"
6,0__1-2__3__4-5__6__7__8-9__10-11__12-13__14-15,['target_bottom'],206,0.128934968948,6.467097536909265,2.2201168045387005,"[1, 4, 8, 10, 12, 14]"
6,0__1-2__3__4__5-6__7-8__9-10__11__12-13__14-15,['uniform_transfer'],53,-0.052936869987,6.035339006813624,1.788358274443059,"[1, 5, 7, 9, 12, 14]"
6,0__1__2-3__4-5__6-7__8-9__10__11-12__13__14-15,['uniform_transfer'],13,-0.084825444036,5.9832729887752585,1.7362922564046936,"[2, 4, 6, 8, 11, 14]"
6,0__1__2-3__4-5__6-7__8-9__10__11__12-13__14-15,['target_top'],7,-0.092728317027,5.989823981813672,1.7428432494431068,"[2, 4, 6, 8, 12, 14]"
6,0__1__2-3__4-5__6-7__8__9-10__11-12__13__14-15,['target_top'],4,-0.107851516284,5.916925918787922,1.6699451864173573,"[2, 4, 6, 9, 11, 14]"
6,0__1__2-3__4-5__6-7__8__9-10__11__12-13__14-15,['target_top'],1,-0.115754389275,5.924141807406995,1.6771610750364303,"[2, 4, 6, 9, 12, 14]"
6,0__1__2-3__4__5-6__7-8__9-10__11-12__13__14-15,['target_top'],6,-0.101015887969,5.913306748062984,1.6663260156924196,"[2, 5, 7, 9, 11, 14]"
6,0__1__2-3__4__5-6__7-8__9-10__11__12-13__14-15,['target_top'],3,-0.10891876096,5.93578340860406,1.688802676233495,"[2, 5, 7, 9, 12, 14]"
6,0__1__2-3__4__5-6__7-8__9__10-11__12-13__14-15,['uniform_transfer'],65,-0.043747846188,6.037132366661452,1.7901516342908872,"[2, 5, 7, 10, 12, 14]"
6,0__1__2__3-4__5-6__7-8__9-10__11__12-13__14-15,['uniform_transfer'],15,-0.084325643419,6.035885386686055,1.7889046543154903,"[3, 5, 7, 9, 12, 14]"
6,0__1__2__3-4__5-6__7-8__9__10-11__12-13__14-15,['target_middle'],104,-0.019154728647,6.159854977478147,1.9128742451075817,"[3, 5, 7, 10, 12, 14]"
7,0-1__2-3__4-5__6-7__8__9-10__11__12-13__14-15,['exhaustive_transfer'],1,-0.071184367425,6.866683461216304,2.6197027288457395,"[0, 2, 4, 6, 9, 12, 14]"
7,0-1__2-3__4__5-6__7-8__9-10__11__12-13__14-15,['exhaustive_transfer'],2,-0.06434873911,6.831242545492372,2.584261813121807,"[0, 2, 5, 7, 9, 12, 14]"
7,0-1__2-3__4-5__6-7__8__9-10__11-12__13__14-15,['exhaustive_transfer'],3,-0.063281494434,6.840687948471174,2.5937072161006087,"[0, 2, 4, 6, 9, 11, 14]"
7,0-1__2-3__4__5-6__7-8__9-10__11-12__13__14-15,['exhaustive_transfer'],4,-0.056445866119,6.780580287571643,2.5335995552010786,"[0, 2, 5, 7, 9, 11, 14]"
7,0-1__2-3__4-5__6-7__8-9__10__11__12-13__14-15,['exhaustive_transfer'],5,-0.048158295177,7.021049551716764,2.7740688193461995,"[0, 2, 4, 6, 8, 12, 14]"
7,0-1__2-3__4-5__6-7__8__9-10__11-12__13-14__15,['exhaustive_transfer'],6,-0.040349622548,6.8448353727309,2.5978546403603353,"[0, 2, 4, 6, 9, 11, 13]"
7,0-1__2-3__4-5__6-7__8-9__10__11-12__13__14-15,['exhaustive_transfer'],7,-0.040255422186,7.000225321638269,2.7532445892677044,"[0, 2, 4, 6, 8, 11, 14]"
7,0-1__2__3-4__5-6__7-8__9-10__11__12-13__14-15,['exhaustive_transfer'],8,-0.039755621569,6.966231724616952,2.719250992246387,"[0, 3, 5, 7, 9, 12, 14]"
7,0__1__2-3__4-5__6-7__8-9__10-11__12-13__14-15,['exhaustive_transfer'],9,-0.03801764013,7.06302288760188,2.8160421552313153,"[2, 4, 6, 8, 10, 12, 14]"
7,0__1-2__3-4__5-6__7-8__9-10__11__12-13__14-15,['exhaustive_transfer'],10,-0.037387126597,7.155996690863854,2.9090159584932893,"[1, 3, 5, 7, 9, 12, 14]"
7,0-1__2-3__4__5__6-7__8-9__10-11__12-13__14-15,['exhaustive_transfer'],11,-0.037317928048,6.962353822888983,2.715373090518418,"[0, 2, 6, 8, 10, 12, 14]"
7,0-1__2-3__4__5-6__7-8__9-10__11-12__13-14__15,['exhaustive_transfer'],12,-0.033513994232,6.815954377108189,2.568973644737624,"[0, 2, 5, 7, 9, 11, 13]"
7,0-1__2__3-4__5-6__7-8__9-10__11-12__13__14-15,['exhaustive_transfer'],13,-0.031852748578,6.969464102565135,2.7224833701945705,"[0, 3, 5, 7, 9, 11, 14]"
7,0__1-2__3-4__5-6__7-8__9-10__11-12__13__14-15,['exhaustive_transfer'],14,-0.029484253606,7.122254503087913,2.8752737707173486,"[1, 3, 5, 7, 9, 11, 14]"
7,0-1__2-3__4-5__6-7__8-9__10__11-12__13-14__15,['exhaustive_transfer'],15,-0.0173235503,7.006945675302694,2.759964942932129,"[0, 2, 4, 6, 8, 11, 13]"
7,0-1__2-3__4-5__6-7__8-9__10-11__12__13__14-15,['exhaustive_transfer'],16,-0.013056577534,7.090818448966316,2.8438377165957514,"[0, 2, 4, 6, 8, 10, 14]"
7,0-1__2__3-4__5__6-7__8-9__10-11__12-13__14-15,['exhaustive_transfer'],17,-0.012724810507,7.147314534975053,2.9003338026044885,"[0, 3, 6, 8, 10, 12, 14]"
7,0__1-2__3-4__5__6-7__8-9__10-11__12-13__14-15,['exhaustive_transfer'],18,-0.010356315535,7.286019770863701,3.0390390384931365,"[1, 3, 6, 8, 10, 12, 14]"
7,0-1__2__3-4__5-6__7-8__9-10__11-12__13-14__15,['exhaustive_transfer'],19,-0.008920876692,6.966654944396555,2.71967421202599,"[0, 3, 5, 7, 9, 11, 13]"
7,0-1__2-3__4__5-6__7__8-9__10-11__12-13__14-15,['exhaustive_transfer'],20,-0.007023583132,6.929123901784828,2.682143169414263,"[0, 2, 5, 8, 10, 12, 14]"
7,0__1-2__3-4__5-6__7-8__9-10__11-12__13-14__15,['exhaustive_transfer'],21,-0.00655238172,7.141905608414905,2.89492487604434,"[1, 3, 5, 7, 9, 11, 13]"
7,0-1__2-3__4-5__6-7__8__9__10-11__12-13__14-15,['exhaustive_transfer'],22,-0.006013452653,6.998787072630106,2.7518063402595407,"[0, 2, 4, 6, 10, 12, 14]"
7,0-1__2-3__4__5-6__7-8__9__10-11__12-13__14-15,['exhaustive_transfer'],23,0.000822175662,6.998182617441067,2.7512018850705022,"[0, 2, 5, 7, 10, 12, 14]"
7,0-1__2-3__4-5__6-7__8-9__10-11__12__13-14__15,['exhaustive_transfer'],24,0.009875294352,7.081510406784997,2.8345296744144326,"[0, 2, 4, 6, 8, 10, 13]"
7,0-1__2__3__4-5__6-7__8-9__10-11__12-13__14-15,['exhaustive_transfer'],25,0.015595755871,7.276143298703787,3.0291625663332225,"[0, 4, 6, 8, 10, 12, 14]"
7,0-1__2__3-4__5-6__7__8-9__10-11__12-13__14-15,['exhaustive_transfer'],26,0.017569534409,7.112952149392107,2.865971417021542,"[0, 3, 5, 8, 10, 12, 14]"
7,0__1-2__3__4-5__6-7__8-9__10-11__12-13__14-15,['exhaustive_transfer'],27,0.017964250843,7.344582500812012,3.0976017684414474,"[1, 4, 6, 8, 10, 12, 14]"
7,0__1-2__3-4__5-6__7__8-9__10-11__12-13__14-15,['exhaustive_transfer'],28,0.01993802938,7.254662159484386,3.0076814271138215,"[1, 3, 5, 8, 10, 12, 14]"
7,0-1__2__3-4__5-6__7-8__9__10-11__12-13__14-15,['exhaustive_transfer'],29,0.025415293203,7.182282518664646,2.9353017862940813,"[0, 3, 5, 7, 10, 12, 14]"
7,0__1-2__3-4__5-6__7-8__9__10-11__12-13__14-15,['exhaustive_transfer'],30,0.027783788175,7.311354906561321,3.064374174190756,"[1, 3, 5, 7, 10, 12, 14]"
