split,boundary_index,offset,candidate_id,delta_nll,nll,first_difference_from_previous,second_difference_centered
discovery,3,-40,boundary-03-offset--040,0.05147915408525083,4.260754212839046,,
discovery,3,-30,boundary-03-offset--030,0.0320867830241065,4.241361841777902,-0.01939237106114433,0.003806634848884549
discovery,3,-20,boundary-03-offset--020,0.01650104681184672,4.225776105565642,-0.015585736212259782,0.005065450920038295
discovery,3,-10,boundary-03-offset--010,0.005980761519625233,4.215255820273421,-0.010520285292221487,0.0045395237725962545
discovery,3,0,native-h8,0.0,4.2092750587537955,-0.005980761519625233,0.008215519223628398
discovery,3,10,boundary-03-offset-+010,0.002234757704003165,4.211509816457799,0.002234757704003165,0.007976684868626904
discovery,3,20,boundary-03-offset-+020,0.012446200276633235,4.221721259030429,0.01021144257263007,0.005502850895170219
discovery,3,30,boundary-03-offset-+030,0.028160493744433523,4.237435552498229,0.01571429346780029,-0.0007894875833125425
discovery,3,40,boundary-03-offset-+040,0.04308529962892127,4.252360358382717,0.014924805884487746,
confirmation,3,-40,boundary-03-offset--040,0.05321590781561447,4.202566825050063,,
confirmation,3,-30,boundary-03-offset--030,0.03319080927038698,4.1825417265048355,-0.020025098545227493,0.004015599061550468
confirmation,3,-20,boundary-03-offset--020,0.017181309786709953,4.166532227021158,-0.016009499483677025,0.004994562993650753
confirmation,3,-10,boundary-03-offset--010,0.00616637329668368,4.155517290531132,-0.011014936490026273,0.004848563193342592
confirmation,3,0,native-h8,0.0,4.1493509172344485,-0.00616637329668368,0.008272073136047275
confirmation,3,10,boundary-03-offset-+010,0.002105699839363595,4.151456617073812,0.002105699839363595,0.008265521402815779
confirmation,3,20,boundary-03-offset-+020,0.012476921081542969,4.1618278383159915,0.010371221242179374,0.005663921639600389
confirmation,3,30,boundary-03-offset-+030,0.02851206396332273,4.177862981197771,0.016035142881779763,-0.0009218166534044059
confirmation,3,40,boundary-03-offset-+040,0.04362539019169809,4.192976307426147,0.015113326228375357,
discovery,4,-40,boundary-04-offset--040,0.044984535504413614,4.254259594258209,,
discovery,4,-30,boundary-04-offset--030,0.023329836881755384,4.232604895635551,-0.02165469862265823,0.011807674769666043
discovery,4,-20,boundary-04-offset--020,0.013482813028763196,4.222757871782559,-0.009847023852992187,-0.0017481390914850792
discovery,4,-10,boundary-04-offset--010,0.00188765008428593,4.211162708838081,-0.011595162944477266,0.009707512860191336
discovery,4,0,native-h8,0.0,4.2092750587537955,-0.00188765008428593,0.007502265456602153
discovery,4,10,boundary-04-offset-+010,0.005614615372316223,4.214889674126112,0.005614615372316223,0.00914317538428211
discovery,4,20,boundary-04-offset-+020,0.020372406128914555,4.22964746488271,0.014757790756598332,0.013494699465097959
discovery,4,30,boundary-04-offset-+030,0.04862489635061085,4.257899955104406,0.02825249022169629,0.006675989630169354
discovery,4,40,boundary-04-offset-+040,0.08355337620247649,4.292828434956272,0.034928479851865646,
confirmation,4,-40,boundary-04-offset--040,0.04710352618906377,4.196454443423512,,
confirmation,4,-30,boundary-04-offset--030,0.024333875549853445,4.173684792784302,-0.022769650639210326,0.012470532489079034
confirmation,4,-20,boundary-04-offset--020,0.014034757399722153,4.163385674634171,-0.010299118150131292,-0.0017612863728952988
confirmation,4,-10,boundary-04-offset--010,0.001974352876695562,4.151325270111144,-0.012060404523026591,0.010086051646331029
confirmation,4,0,native-h8,0.0,4.1493509172344485,-0.001974352876695562,0.007678229088658561
confirmation,4,10,boundary-04-offset-+010,0.005703876211962999,4.1550547934464115,0.005703876211962999,0.009559396891066108
confirmation,4,20,boundary-04-offset-+020,0.020967149314992106,4.170318066549441,0.015263273103029107,0.014310863360632808
confirmation,4,30,boundary-04-offset-+030,0.05054128577865402,4.1998922030131025,0.029574136463661915,0.006457428079196248
confirmation,4,40,boundary-04-offset-+040,0.08657285032151218,4.235923767555961,0.03603156454285816,
discovery,5,-40,boundary-05-offset--040,0.06441131062288541,4.273686369376681,,
discovery,5,-30,boundary-05-offset--030,0.027399023956567348,4.236674082710363,-0.03701228666631806,0.018146048309982454
discovery,5,-20,boundary-05-offset--020,0.00853278560023174,4.217807844354027,-0.018866238356335607,0.01361163084341488
discovery,5,-10,boundary-05-offset--010,0.0032781780873110122,4.2125532368411065,-0.005254607512920728,0.001976429425609716
discovery,5,0,native-h8,0.0,4.2092750587537955,-0.0032781780873110122,0.0050518379882635855
discovery,5,10,boundary-05-offset-+010,0.0017736599009525733,4.211048718654748,0.0017736599009525733,0.006324860357469042
discovery,5,20,boundary-05-offset-+020,0.009872180159374189,4.21914723891317,0.008098520258421615,0.00696638485786405
discovery,5,30,boundary-05-offset-+030,0.024937085275659854,4.234212144029455,0.015064905116285665,0.013647314390478726
discovery,5,40,boundary-05-offset-+040,0.053649304782424245,4.26292436353622,0.02871221950676439,
confirmation,5,-40,boundary-05-offset--040,0.06514481948151563,4.214495736715964,,
confirmation,5,-30,boundary-05-offset--030,0.027197942239681083,4.17654885947413,-0.03794687724183454,0.019296170679356628
confirmation,5,-20,boundary-05-offset--020,0.008547235677203169,4.157898152911652,-0.018650706562477914,0.01333799763042709
confirmation,5,-10,boundary-05-offset--010,0.003234526745152344,4.152585443979601,-0.005312708932050825,0.0020781821868984807
confirmation,5,0,native-h8,0.0,4.1493509172344485,-0.003234526745152344,0.005034709606003496
confirmation,5,10,boundary-05-offset-+010,0.0018001828608511516,4.1511511000953,0.0018001828608511516,0.006778597715196177
confirmation,5,20,boundary-05-offset-+020,0.01037896343689848,4.159729880671347,0.008578780576047329,0.007221506254881049
confirmation,5,30,boundary-05-offset-+030,0.02617925026782686,4.175530167502275,0.01580028683092838,0.014811674287708243
confirmation,5,40,boundary-05-offset-+040,0.05679121138646348,4.206142128620912,0.03061196111863662,
discovery,6,-40,boundary-06-offset--040,0.0786057241035234,4.287880782857319,,
discovery,6,-30,boundary-06-offset--030,0.04398110092327201,4.2532561596770675,-0.03462462318025139,0.006739513848417644
discovery,6,-20,boundary-06-offset--020,0.016095991591438263,4.225371050345234,-0.027885109331833746,0.015518342761116521
discovery,6,-10,boundary-06-offset--010,0.0037292250207210387,4.2130042837745165,-0.012366766570717225,0.008637541549996186
discovery,6,0,native-h8,0.0,4.2092750587537955,-0.0037292250207210387,0.007030438118317051
discovery,6,10,boundary-06-offset-+010,0.003301213097596012,4.2125762718513915,0.003301213097596012,0.010143281427645867
discovery,6,20,boundary-06-offset-+020,0.01674570762283789,4.226020766376633,0.013444494525241879,0.007851949768215682
discovery,6,30,boundary-06-offset-+030,0.03804215191629545,4.247317210670091,0.02129644429345756,0.002672140898941855
